UniprotID,No. Partners
AQP9_HUMAN,24
AQR_HUMAN,7
AR13A_HUMAN,2
AR13B_HUMAN,63
AR26L_HUMAN,1
AR2BP_HUMAN,6
AR6P1_HUMAN,35
AR6P4_HUMAN,19
AR6P6_HUMAN,17
ARAF_HUMAN,258
ARAID_HUMAN,1
ARAP1_HUMAN,9
ARAP2_HUMAN,0
ARAP3_HUMAN,10
ARAS1_HUMAN,0
ARBK1_HUMAN,34
ARBK2_HUMAN,1
ARC_HUMAN,7
ARC1A_HUMAN,27
ARC1B_HUMAN,28
ARCH_HUMAN,4
AREG_HUMAN,9
AREL1_HUMAN,10
ARF_HUMAN,155
ARF1_HUMAN,97
ARF3_HUMAN,10
ARF4_HUMAN,14
ARF5_HUMAN,10
ARF6_HUMAN,34
ARFG1_HUMAN,40
ARFG2_HUMAN,39
ARFG3_HUMAN,49
ARFP1_HUMAN,29
ARFP2_HUMAN,42
ARFRP_HUMAN,3
ARG28_HUMAN,1
ARG33_HUMAN,0
ARG35_HUMAN,4
ARG39_HUMAN,1
ARGAL_HUMAN,0
ARGFX_HUMAN,0
ARGI1_HUMAN,1
ARGI2_HUMAN,2
ARGL1_HUMAN,10
ARH_HUMAN,15
ARH37_HUMAN,0
ARH38_HUMAN,2
ARH40_HUMAN,3
ARHG1_HUMAN,12
ARHG2_HUMAN,48
ARHG3_HUMAN,5
ARHG4_HUMAN,5
ARHG5_HUMAN,29
ARHG6_HUMAN,27
ARHG7_HUMAN,17
ARHG8_HUMAN,16
ARHG9_HUMAN,7
ARHGA_HUMAN,11
ARHGB_HUMAN,8
ARHGC_HUMAN,17
ARHGF_HUMAN,5
ARHGG_HUMAN,11
ARHGH_HUMAN,3
ARHGI_HUMAN,1
ARHGJ_HUMAN,0
ARHGP_HUMAN,1
ARHGQ_HUMAN,8
ARHL1_HUMAN,0
ARI1_HUMAN,162
ARI1A_HUMAN,27
ARI1B_HUMAN,17
ARI2_HUMAN,58
ARI2O_HUMAN,0
ARI3A_HUMAN,23
ARI3B_HUMAN,1
ARI3C_HUMAN,0
ARI4A_HUMAN,24
ARI4B_HUMAN,20
ARI5A_HUMAN,27
ARI5B_HUMAN,0
ARID2_HUMAN,10
ARIP4_HUMAN,22
ARK72_HUMAN,5
ARK73_HUMAN,8
ARK74_HUMAN,0
ARL1_HUMAN,5
